Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(940, 950]",0.404986318,0.445150502,0.431716834,0.648829431,0.512123746,0.432552954,0.621085011,0.635448444,0.538461538
"(950, 960]",0.440207444,0.458053691,0.487695749,0.541488713,0.615352349,0.453299776,0.586956522,0.676801459,0.507074865
"(960, 970]",0.345942648,0.432550336,0.383500557,0.637278829,0.58557047,0.554250559,0.583053691,0.599755949,0.517294786
"(970, 980]",0.365460626,0.436454849,0.21336689,0.56430526,0.670986622,0.562430323,0.585850112,0.602310733,0.424749164
"(980, 990]",0.449359365,0.253020134,0.365771812,0.653447224,0.590604027,0.503355705,0.565496098,0.519829164,0.607898813
"(990, 1000]",0.313773183,0.375585284,0.325250836,0.644600366,0.583053691,0.491917503,0.527684564,0.630567419,0.579504388
"(1000, 1010]",0.228492984,0.50033557,0.380313199,0.582851931,0.502090301,0.398769575,0.647714604,0.63666768,0.473372781
"(1010, 1020]",0.381025015,0.310402685,0.418344519,0.435936547,0.60738255,0.513422819,0.536073826,0.471323978,0.443211151
"(1020, 1030]",0.440863484,0.378595318,0.270345596,0.53081147,0.593227425,0.471571906,0.570469799,0.504881025,0.456375839
"(1030, 1040]",0.420988408,0.346979866,0.379753915,0.588020675,0.566694631,0.428970917,0.579431438,0.440255397,0.462824801
"(1040, 1050]",0.50976205,0.326510067,0.321308725,0.567724222,0.561241611,0.480704698,0.503076063,0.507931666,0.400361384
"(1050, 1060]",0.525995743,0.295986622,0.35367893,0.598840757,0.585702341,0.570234114,0.568512304,0.558267236,0.386680434
"(1060, 1070]",0.420378279,0.313087248,0.225950783,0.462754637,0.565855705,0.503355705,0.515607581,0.619337185,0.363776692
"(1070, 1080]",0.329774253,0.275838926,0.42533557,0.600976205,0.527265101,0.52852349,0.459731544,0.463087248,0.338926174
"(1080, 1090]",0.419276376,0.2909699,0.3893534,0.640329469,0.567725753,0.515328874,0.445469799,0.547589994,0.38590604
"(1090, 1100]",0.32733374,0.219127517,0.388143177,0.637579811,0.604026846,0.333053691,0.433110368,0.556096078,0.41342938
"(1100, 1110]",0.349908481,0.266442953,0.331096197,0.589078707,0.535654362,0.372483221,0.435682327,0.44966443,0.466701084
"(1110, 1120]",0.389176041,0.180267559,0.367056856,0.565521435,0.543896321,0.433110368,0.511744966,0.401337793,0.366029943
"(1120, 1130]",0.383465528,0.217785235,0.370525727,0.55552166,0.606124161,0.435123043,0.56187291,0.418852959,0.390275277
"(1130, 1140]",0.456070775,0.296644295,0.421125975,0.575655888,0.571728188,0.436454849,0.531879195,0.504881025,0.522199277
"(1140, 1150]",0.395560961,0.350167224,0.319910515,0.51930678,0.52048495,0.487416107,0.510033445,0.462146549,0.567532802
"(1150, 1160]",0.498169616,0.361073826,0.259228188,0.564673581,0.520973154,0.410794183,0.352628635,0.546674802,0.448115643
"(1160, 1170]",0.476740651,0.335785953,0.204292085,0.67419158,0.502508361,0.433389075,0.415268456,0.696461257,0.509808983
"(1170, 1180]",0.476205003,0.218120805,0.331655481,0.529340225,0.476090604,0.492170022,0.506688963,0.597750076,0.468999228
"(1180, 1190]",0.366076876,0.270805369,0.330536913,0.569554606,0.38590604,0.535514541,0.467281879,0.56680903,0.409137842
