Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(890, 900]",0.643624161,0.448749237,0.485785953,0.43569474,0.677013423,0.611432046,0.638795987,0.63666768
"(900, 910]",0.595637584,0.423733984,0.541387025,0.504270897,0.648769575,0.662294082,0.626174497,0.656802929
"(910, 920]",0.57458194,0.702341137,0.612695749,0.610128127,0.649108138,0.634533252,0.723825503,0.675411836
"(920, 930]",0.657718121,0.670835876,0.668896321,0.662815445,0.63590604,0.676193372,0.579598662,0.651565825
"(930, 940]",0.668120805,0.677547285,0.617170022,0.698291641,0.679250559,0.717205613,0.67852349,0.63361806
"(940, 950]",0.610033445,0.541501976,0.635730212,0.653694132,0.641583055,0.707443563,0.647315436,0.612873703
"(950, 960]",0.654026846,0.604942038,0.635067114,0.551250763,0.604306488,0.656126482,0.50735786,0.608391608
"(960, 970]",0.645637584,0.534204926,0.579138702,0.593959732,0.653803132,0.649786455,0.590268456,0.647345943
"(970, 980]",0.626421405,0.561928005,0.55574136,0.595925813,0.708472687,0.637583893,0.624080268,0.641836424
"(980, 990]",0.701006711,0.558877364,0.561800895,0.568639414,0.689038031,0.69778048,0.574161074,0.526235509
"(990, 1000]",0.688294314,0.611432046,0.581935123,0.602501525,0.604793757,0.639414277,0.693959732,0.568639414
"(1000, 1010]",0.736241611,0.630567419,0.625139353,0.605959258,0.649049217,0.643964731,0.489966555,0.638491943
"(1010, 1020]",0.67114094,0.622025625,0.620525727,0.673886516,0.688478747,0.517388652,0.519798658,0.510067114
"(1020, 1030]",0.633110368,0.479173001,0.579138702,0.574435631,0.58361204,0.591519219,0.486241611,0.596705308
"(1030, 1040]",0.637248322,0.609823063,0.622073579,0.607479477,0.651006711,0.612952265,0.50367893,0.670112496
"(1040, 1050]",0.496308725,0.610738255,0.60598434,0.564978646,0.576621924,0.647956071,0.623154362,0.585417938
"(1050, 1060]",0.617725753,0.596837945,0.588926174,0.593044539,0.593088071,0.600671141,0.710738255,0.577791336
"(1060, 1070]",0.595973154,0.611043319,0.617335563,0.570082092,0.591722595,0.687747036,0.569230769,0.664639708
"(1070, 1080]",0.625503356,0.694020744,0.655201342,0.438377059,0.717561521,0.663209274,0.503691275,0.659853569
"(1080, 1090]",0.696989967,0.545150502,0.674217002,0.582062233,0.614827202,0.69371568,0.540939597,0.651311775
"(1090, 1100]",0.563422819,0.576876144,0.572463768,0.608087565,0.65352349,0.747339617,0.628762542,0.660079051
"(1100, 1110]",0.608724832,0.610128127,0.673378076,0.617449664,0.649049217,0.639719341,0.569798658,0.727272727
"(1110, 1120]",0.651170569,0.668288234,0.662486065,0.569778048,0.620122631,0.523489933,0.576254181,0.595179988
"(1120, 1130]",0.647315436,0.681208054,0.652404922,0.585723002,0.639821029,0.518090605,0.510067114,0.601398601
"(1130, 1140]",0.727516779,0.632107023,0.657158837,0.586028066,0.602842809,0.56833435,0.463087248,0.658938377
"(1140, 1150]",0.644816054,0.640024405,0.652173913,0.570690179,0.542785235,0.633931286,0.522408027,0.620249316
"(1150, 1160]",0.639597315,0.646125686,0.630872483,0.557657108,0.641778523,0.630262355,0.527516779,0.57504576
"(1160, 1170]",0.57090301,0.635451505,0.666107383,0.601586333,0.598662207,0.573520439,0.617785235,0.629347163
"(1170, 1180]",0.63590604,0.653752288,0.683946488,0.621769535,0.566275168,0.573426573,0.628762542,0.722103983
"(1180, 1190]",0.670134228,0.646735815,0.687919463,0.48871263,0.591722595,0.640329469,0.595302013,0.569554606
